SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
21565,408171,Self-Financed Merit,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha,Sawangi (Meghe),",Open,OBC
21566,408189,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21567,408206,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,General
21568,408213,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21569,408226,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,General
21570,408242,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,General
21573,408344,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,OBC
21574,408487,Self-Financed Merit,"Vinayaka Missions Medical College, Karaikal, Pondicherry,KEEZHAKASAKUDIMEDU,",Open,General
21576,408544,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,OBC
21578,408627,Self-Financed Merit,"GITAM Institute of Medical Sciences and Research, Visakhapatnam,Gandhi Institute of",Open,General
21579,408732,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,EWS
21580,408747,Self-Financed Merit,"Sri siddhartha Institute of Medical Sciences & Research Centre, Bangalore,SRI",Open,OBC
21581,408757,Self-Financed Merit,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College JGMMMC,KLE",Open,OBC
21582,408787,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,General
21583,408890,Self-Financed Merit,"Meenakshi Medical College and Research Institute, Enathur,Enathur, Karaipettai Post,",Open,OBC
21586,409397,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,General
21587,409422,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,General
21588,409509,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21589,409520,All India,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar,THE DIRECTOR,",Open PwD,OBC PwD
21590,409628,All India,"Government Medical College Udhampur,Dhar Road near Sallain Tallab opp Head Post",Open PwD,General PwD
21591,409675,Self-Financed Merit,"Padmashree Dr. DY. Patil Medical College, Navi Mumbai,Sector 5, Nerul, Navi Mumbai,",Open,General
21592,409696,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21593,409711,Self-Financed Merit,"Dr. D Y Patil Medical College, Hospital and Research Centre, Pimpri, Pune,Dr. D. Y. Patil",Open,General
21594,409725,Self-Financed Merit,"VELS Medical College & Hospital,12-123, Velan Nagar, Manjankaranai Village,",Open,OBC
